epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,233.753,2.07812,2.84764,3.46937,1.44906,0.86669,0.62272,0.79473,0.35893,0.8682,0.61686,0.79204,0.3216,1.75142,2.11698,2.10211,1.16769,0.000661157,0.000661157,0.000661157
2,442.25,1.70627,2.13643,1.88036,1.18882,0.825,0.67816,0.77762,0.38687,0.85219,0.70115,0.82018,0.3897,1.6009,2.06687,1.23174,1.155,0.00119637,0.00119637,0.00119637
3,649.791,1.64348,1.99499,1.46827,1.15811,0.82349,0.7931,0.87309,0.47744,0.82321,0.80281,0.88291,0.45895,1.62874,2.01835,1.09358,1.14282,0.00159958,0.00159958,0.00159958
4,856.252,1.5548,1.9409,1.19606,1.14038,0.89792,0.84259,0.90478,0.48308,0.92234,0.81914,0.90379,0.46622,1.55785,1.93202,0.86708,1.1255,0.001406,0.001406,0.001406
5,1061.83,1.52118,1.86716,1.063,1.12269,0.90669,0.77011,0.86849,0.4641,0.91246,0.77778,0.89527,0.45021,1.58725,1.95252,0.93962,1.15156,0.001208,0.001208,0.001208
6,1523.04,1.47485,1.82859,0.97337,1.10006,0.92739,0.88083,0.92117,0.50569,0.92133,0.87739,0.93575,0.46548,1.55176,1.81254,0.77926,1.11779,0.00101,0.00101,0.00101
7,1727.25,1.51238,1.75785,0.91982,1.11965,0.93967,0.8046,0.90318,0.51444,0.91781,0.81295,0.90582,0.47579,1.52337,1.80544,0.82521,1.12456,0.000812,0.000812,0.000812
8,1930.91,1.4271,1.72329,0.8387,1.09129,0.9278,0.87356,0.91928,0.53584,0.93258,0.87739,0.93079,0.49501,1.41778,1.75463,0.71792,1.06951,0.000614,0.000614,0.000614
9,2134.5,1.41474,1.67568,0.80515,1.07157,0.9455,0.86413,0.93773,0.54787,0.93383,0.85057,0.93846,0.52565,1.41152,1.7012,0.73091,1.05569,0.000416,0.000416,0.000416
10,2337.95,1.32572,1.59398,0.75235,1.05007,0.95756,0.86207,0.94897,0.57236,0.96182,0.8659,0.95459,0.52822,1.38314,1.67346,0.67891,1.04595,0.000218,0.000218,0.000218
